record_id,domain,title,epistemic_status,confidence,current_status,review_decision,reviewer,review_date,primary_source_id
RSOS-001,RSOS,Canonical name,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
RSOS-002,RSOS,One-sentence definition,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-003,RSOS,Not another sustainability project,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-004,RSOS,Orders rather than replaces,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-005,RSOS,Three connected levels,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-006,RSOS,EnSoPoLeTeEc,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-007,RSOS,Nested systems,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-008,RSOS,Individual at the centre,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-009,RSOS,Eight principles,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-010,RSOS,Three ecological principles,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-011,RSOS,Five social principles,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-012,RSOS,Boundaries and design impulses,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-013,RSOS,Meaningful influence,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-014,RSOS,FutureFitness,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-015,RSOS,Break-Even Goals,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-016,RSOS,Positive Pursuits,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-017,RSOS,Five-level framework,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-018,RSOS,Success before measures,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-019,RSOS,Tools contain problem definitions,conversation_derived,0.98,candidate,,,,SRC-SGA-STRAT-1
RSOS-020,RSOS,Strategic guidance,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-021,RSOS,Six organisational domains,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-022,RSOS,One architecture,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-023,RSOS,Learning and Adaptation,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-024,RSOS,Learning changes the system,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-025,RSOS,C³,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-026,RSOS,Cognition and Condition content,source_explicit,0.94,candidate,,,,SRC-RSOS-BUILD
RSOS-027,RSOS,ACER,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-028,RSOS,ADVISE,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
RSOS-029,RSOS,Implicit client use,conversation_derived,0.99,candidate,,,,SRC-SGA-STRAT-1
RSOS-030,RSOS,End with client value,source_explicit,0.94,candidate,,,,SRC-RSOS-PITCH
PROT-001,Lyra collaboration,Lyra role,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-002,Lyra collaboration,Lyros role,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-003,Lyra collaboration,Lyra–Lyros distinction,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-004,Lyra collaboration,Purposeful boundary,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-005,Lyra collaboration,Routine utility outside Lyros,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-006,Lyra collaboration,Intended style,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-007,Lyra collaboration,Direct and transparent engagement,source_explicit,0.94,candidate,,,,SRC-SGA-AI-001
PROT-008,Lyra collaboration,Human authority,conversation_derived,0.98,candidate,,,,SRC-LYROS-DIALOGUE
