# Format: GHSA-ID | package path(s) | classification and rationale | ADDED=YYYY-MM-DD | REVIEW-BY=YYYY-MM-DD
# These are narrowly scoped, temporary suppressions for current transitive packages.
GHSA-52cp-r559-cp3m | eslint > @eslint/eslintrc > js-yaml | DEV-ONLY: ESLint parses repository config during CI; js-yaml is absent from the Vite production dependency graph and dist bundle. eslint 9.39.5 reaches the fix, but the repository's lint baseline is currently red and the dependency/dual-lock upgrade did not pass all required gates. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-5p4m-2wfm-xmqj | eslint > @eslint/eslintrc > js-yaml | DEV-ONLY: ESLint parses repository config during CI; js-yaml is absent from the Vite production dependency graph and dist bundle. eslint 9.39.5 reaches the fix, but the repository's lint baseline is currently red and the dependency/dual-lock upgrade did not pass all required gates. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-5jgf-p345-68v8 | eslint > @eslint/eslintrc > ajv > fast-uri; vite-plugin-pwa > workbox-build > @apideck/better-ajv-errors > ajv > fast-uri | DEV-ONLY: schema validation executes only in lint/build tooling; fast-uri is absent from the client production dependency graph and dist bundle. Current compatible parent updates still resolve vulnerable fast-uri 3.1.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-f65p-4m7j-42xc | eslint > @eslint/eslintrc > ajv > fast-uri; vite-plugin-pwa > workbox-build > @apideck/better-ajv-errors > ajv > fast-uri | DEV-ONLY: schema validation executes only in lint/build tooling; fast-uri is absent from the client production dependency graph and dist bundle. Current compatible parent updates still resolve vulnerable fast-uri 3.1.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-fph4-wmhf-6fwf | eslint > @eslint/eslintrc > ajv > fast-uri; vite-plugin-pwa > workbox-build > @apideck/better-ajv-errors > ajv > fast-uri | DEV-ONLY: schema validation executes only in lint/build tooling; fast-uri is absent from the client production dependency graph and dist bundle. Current compatible parent updates still resolve vulnerable fast-uri 3.1.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-jqff-g426-hqxp | eslint > @eslint/eslintrc > ajv > fast-uri; vite-plugin-pwa > workbox-build > @apideck/better-ajv-errors > ajv > fast-uri | DEV-ONLY: schema validation executes only in lint/build tooling; fast-uri is absent from the client production dependency graph and dist bundle. Current compatible parent updates still resolve vulnerable fast-uri 3.1.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-7p8r-x3mc-p8w7 | eslint > @eslint/eslintrc > ajv > fast-uri; vite-plugin-pwa > workbox-build > @apideck/better-ajv-errors > ajv > fast-uri | DEV-ONLY: schema validation executes only in lint/build tooling; fast-uri is absent from the client production dependency graph and dist bundle. Current compatible parent updates still resolve vulnerable fast-uri 3.1.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-mh99-v99m-4gvg | eslint > @eslint/eslintrc > minimatch > brace-expansion; typescript-eslint > @typescript-eslint/utils > @typescript-eslint/typescript-estree > minimatch > brace-expansion; vite-plugin-pwa > workbox-build > glob > minimatch > brace-expansion | DEV-ONLY: glob matching executes in lint/build tooling; brace-expansion is absent from the client production dependency graph and dist bundle. Forcing the fixed v1 globally broke Workbox globbing, so no clean compatible resolution is currently reachable. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-rgw5-rvv9-x895 | eslint > @eslint/eslintrc > minimatch > brace-expansion; typescript-eslint > @typescript-eslint/utils > @typescript-eslint/typescript-estree > minimatch > brace-expansion; vite-plugin-pwa > workbox-build > glob > minimatch > brace-expansion | DEV-ONLY: glob matching executes in lint/build tooling; brace-expansion is absent from the client production dependency graph and dist bundle. Forcing the fixed v1 globally broke Workbox globbing, so no clean compatible resolution is currently reachable. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-3jxr-9vmj-r5cp | eslint > @eslint/eslintrc > minimatch > brace-expansion; typescript-eslint > @typescript-eslint/utils > @typescript-eslint/typescript-estree > minimatch > brace-expansion; vite-plugin-pwa > workbox-build > glob > minimatch > brace-expansion | DEV-ONLY: glob matching executes in lint/build tooling; brace-expansion is absent from the client production dependency graph and dist bundle. Forcing the fixed v1 globally broke Workbox globbing, so no clean compatible resolution is currently reachable. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-28wg-ghj8-5hjv | vite > postcss > nanoid | DEV-ONLY: Nano ID is used by the Vite/PostCSS build pipeline and is absent from the client production dependency graph and dist bundle. Current Vite 7 compatible updates retain the vulnerable nanoid 3.3.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-2v37-7h3g-55p8 | vite > postcss > nanoid | DEV-ONLY: Nano ID is used by the Vite/PostCSS build pipeline and is absent from the client production dependency graph and dist bundle. Current Vite 7 compatible updates retain the vulnerable nanoid 3.3.x. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
GHSA-r28c-9q8g-f849 | vite > postcss | DEV-ONLY: PostCSS processes source CSS during Vite builds and is absent from the emitted client runtime. Current Vite 7 compatible updates retain vulnerable PostCSS 8.5.17. | ADDED=2026-09-03 | REVIEW-BY=2026-12-02
